id,question,answerable,reference_answer,ai_answer,reference_pages,retrieved_pages,answer_correct,page_retrieval_hit,refusal_correct
1,What is the minimum HSC-II percentage required for Engineering (B.E) programs?,True,"Engineering programs require a minimum of 60% in HSC-II, excluding Hifz-ul-Quran.","The minimum HSC-II percentage required for Engineering (B.E) programs is 60% (excluding Hifz-ul-Quran, and grace marks are not counted).",1,"1,2",True,True,
2,What is the minimum HSC-II percentage for Science and Technology BS programs?,True,Science and Technology BS programs require a minimum of 50% in HSC-II.,The minimum HSC-II percentage for Science & Technology BS programs is 50%.,1,"1,2",True,True,
3,Are grace marks counted for Engineering eligibility?,True,No. Grace marks are not counted for Engineering eligibility.,"No, grace marks are not counted for Engineering eligibility.",1,"1,2",True,True,
4,What must an HSC-I student do later to remain eligible?,True,An HSC-I student must later meet the required HSC-II marks.,An HSC-I student must later meet the required HSC-II marks to remain eligible.,1,"1,3",True,True,
5,Are reserved seats available for differently-abled applicants?,True,Yes. Reserved seats are available for differently-abled applicants.,"Yes, reserved seats are available for differently-abled applicants.",1,"1,2",True,True,
6,What domicile document is required for admission?,True,A PRC (Form C) of the relevant category is required.,You must possess the PRC (Form C) of the relevant category.,1,"1,2",True,True,
7,Can a student with a previous admission apply again?,True,Previous admissions are not eligible unless the student applies under Self-Finance with an undertaking.,Previous admissions are not eligible unless it is through Self-Finance with an undertaking.,1,"1,2",True,True,
8,What happens if fake documents are submitted?,True,Admission is cancelled and legal action is applied.,Admission is cancelled and legal action is applied.,1,"1,2",True,True,
9,Who is ineligible because of disciplinary issues?,True,Students who have been rusticated or debarred are ineligible.,Those who are rusticated or debarred are ineligible because of disciplinary issues.,1,"1,2",True,True,
10,Which programs are available to Pre-Engineering students?,True,Pre-Engineering students are eligible for Engineering and Science programs.,Pre-Engineering students are eligible for Engineering & Science programs.,1,"1,2",True,True,
11,Which programs can Pre-Medical students apply for?,True,"Pre-Medical students are eligible for IT, AI, Chemistry, and English, with a Mathematics course.","Pre-Medical students are eligible for IT, AI, Chemistry, and English (with Mathematics course) programs.",1,"1,2",True,True,
12,What percentage is required for DAE holders under Category-F?,True,DAE holders require 60% under Category-F.,60% is required for DAE holders under Category-F.,1,"1,2",True,True,
13,How can applicants apply to QUEST?,True,Applicants can apply online via the official website.,Applicants can apply online via the official website (https://www.quest.edu.pk/apply-now/).,1,"1,2",True,True,
14,What happens if false information is provided in the application?,True,Tampering or false information leads to rejection.,"Tampering or providing false information leads to rejection. Additionally, if fake documents are involved, admission is cancelled and legal action is applied.",1,"1,2",True,True,
15,Which documents must be submitted with the application?,True,"Attested SSC/HSC marksheets, domicile, PRC, and certificates must be submitted.","Attested SSC/HSC marksheets, domicile, PRC, and certificates must be submitted with the application.",1,"1,2",True,True,
16,Is the pre-admission test compulsory?,True,"Yes, it is compulsory for Categories A-I, P, and SF.","Yes, the pre-admission test is compulsory for Categories A-I, P, and SF.",1,"1,3",True,True,
17,How long is the pre-admission test?,True,The pre-admission test is 1 hour long.,The pre-admission test is 1 hour long.,1,"1,2",False,True,
18,What type of questions are in the pre-admission test?,True,The test contains multiple-choice questions (MCQs).,"The pre-admission test consists of 1-hour multiple-choice questions (MCQs) covering Math, Physics, Chemistry, and English.",1,"1,2",True,True,
19,Which subjects are covered in the pre-admission test?,True,"The test covers Math, Physics, Chemistry, and English.","The pre-admission test covers Math, Physics, Chemistry, and English.",1,"1,2",True,True,
20,What percentage of merit comes from Matric?,True,Matric contributes 10% to the merit calculation.,10%,1,"1,2",False,True,
21,What percentage of merit comes from HSC-I?,True,HSC-I contributes 20% to the merit calculation.,20%,1,"1,2",False,True,
22,What percentage of merit comes from the admission test?,True,The test contributes 70% to the merit calculation.,70%,1,"1,2",False,True,
23,What is the merit formula at QUEST?,True,Merit is calculated as Matric 10% + HSC-I 20% + Test 70%.,I could not find this information in the available university documents.,1,"1,2",False,True,
24,"What is the first-semester fee for B.E, BS, and B.Tech in Batch-24?",True,"The first-semester fee is PKR 58,500.","The first-semester fee for B.E, BS, and B.Tech in Batch-24 is PKR 58,500.",1,"1,2",True,True,
25,"What is the fee for the 2nd, 4th, 6th, and 8th semesters for B.E/BS/B.Tech?",True,"The fee is PKR 29,250.","The fee for the 2nd, 4th, 6th, and 8th semesters for B.E / BS / B.Tech is PKR 29,250.",2,"1,2",True,True,
26,"What is the fee for the 3rd, 5th, and 7th semesters for B.E/BS/B.Tech?",True,"The fee is PKR 48,500.","The fee for the 3rd, 5th, and 7th semesters for B.E / BS / B.Tech is PKR 48,500.",2,"1,2",True,True,
27,What is the first-semester fee for BS Physics/Chemistry?,True,"The first-semester fee is PKR 33,650.","The first-semester fee for BS Physics/Chemistry is PKR 33,650.",2,"1,2",True,True,
28,What are the even and odd semester fees for BS Administration Physics/Chemistry?,True,"The fees are PKR 29,250 and PKR 42,350 for even and odd semesters respectively.","For BS Administration Physics/Chemistry, the even and odd semester fees are PKR 29,250 / 42,350.",2,"1,2",True,True,
29,How much is the summer semester fee for 3 credit hours?,True,"The summer semester fee is PKR 6,000 for 3 credit hours.","PKR 6,000",2,"1,2",False,True,
30,How much is the summer semester fee for 2 credit hours?,True,"The summer semester fee is PKR 4,000 for 2 credit hours.","PKR 4,000",2,"1,2",False,True,
31,What is the summer practical fee?,True,"The summer practical fee is PKR 3,000.","PKR 3,000",2,"1,2",False,True,
32,What is the examination fee per exam?,True,"The examination fee is PKR 2,750 per exam.","PKR 2,750 per exam.",2,"1,2",True,True,
33,What is the migration fee?,True,"The migration fee is PKR 2,000.","The migration fee is PKR 2,000.",2,"1,2",True,True,
34,What is the self-finance fee for B.E Civil?,True,"The self-finance fee for B.E Civil is PKR 1,155,000.","The self-finance fee for B.E Civil is PKR 1,155,000.",2,"1,2",True,True,
35,What is the self-finance fee for BS CS/AI?,True,"The self-finance fee for BS CS/AI is PKR 630,000.","The self-finance fee for BS CS/AI is PKR 630,000.",2,"1,2",True,True,
36,Who cannot get hostel accommodation according to the document?,True,Hostel accommodation is not available for students within 30 km.,Students within 30km cannot get hostel accommodation.,2,"1,2,3",True,True,
37,What happens after a two-week absence?,True,A two-week absence leads to automatic cancellation.,A two-week absence leads to automatic cancellation.,2,"1,2,3",False,True,
38,What is the fee range for foreign students?,True,"Foreign students pay USD 6,000–10,000 depending on the scheme.","USD 6,000–10,000 depending on scheme.",2,"1,2",True,True,
39,Where should students look for detailed seat distribution?,True,Students should refer to Tables 1-7 in the prospectus for detailed seat distribution.,Students should refer to Tables 1-7 in the prospectus for detailed seat distribution (district/category-wise).,2,"1,2",True,True,
40,What is the full name of QUEST?,True,"QUEST stands for Quaid-e-Awam University of Engineering, Science & Technology.","Quaid-e-Awam University of Engineering, Science & Technology",2,"2,3",True,True,
41,Where is QUEST located?,True,"QUEST is located in Nawabshah, Sindh, Pakistan.",I could not find this information in the available university documents.,3,"2,3",False,True,
42,What is the university telephone number shown in the document?,True,The telephone number is +92 244 9370367.,I could not find this information in the available university documents.,3,"1,2",False,False,
43,What email address is shown for QUEST?,True,The email address is info@quest.edu.pk.,info@quest.edu.pk,3,"2,3",True,True,
44,What does QUEST say it is dedicated to?,True,"QUEST says it is dedicated to delivering world-class education, fostering research, and nurturing innovation for a brighter future.","QUEST is dedicated to delivering world-class education, fostering research, and nurturing innovation for a brighter future.",2,"1,2",True,True,
45,Does the document mention a prospectus?,True,Yes. The document provides a Download Prospectus option and refers to the prospectus for detailed seat distribution.,"Yes, the document mentions the prospectus (referring to it for district/category-wise details in Tables 1-7, and providing a download option).",2,"1,2",True,True,
46,Does the document provide an online Apply Now option?,True,Yes. It provides an Apply Now option for undergraduate and postgraduate applications.,"Yes, the document provides an online Apply Now option. You can apply online via the official website, and the pages include options such as ""Apply online via official website"", ""Apply Now For Undergraduate"", and ""Apply Now For Postgraduate"".",2,"1,2",True,True,
47,Does the document mention admissions?,True,Yes. Admissions are listed as one of the university's key areas/quick links.,"Yes, the document provides information on admission rules and procedures, eligibility, the application process, the pre-admission test, and the fee structure.",2,"1,2",False,True,
48,Does the document mention academics?,True,Yes. Academics is listed as a university section/quick link.,Yes.,"2,3","1,2",False,True,
49,Does the document mention research?,True,Yes. Research is listed as a university section/quick link.,"Yes, the document mentions research. It states that Quaid-e-Awam University of Engineering, Science & Technology (QUEST) is dedicated to fostering research, and ""Research"" is also listed among the sections/menu items.","2,3","1,2,3",True,True,
50,Does the document mention campus life?,True,Yes. Campus Life is listed as a university section.,"Yes, the document mentions campus life, including that a hostel is not available for students living within 30km, a 2-week absence leads to automatic cancellation, and students can stay updated with campus news, events, and announcements.","1,3","1,2,3",True,True,
51,Does the document mention downloads?,True,Yes. Downloads is listed as a university section/quick link.,"Yes, the document mentions ""Downloads"" (including ""Download Prospectus"").","1,3","1,2,3",True,True,
52,Does the document mention a Telephone Directory?,True,Yes. Telephone Directory is listed in the university navigation.,"Yes, the document mentions ""Telephone Directory"".","1,3","1,2,3",True,True,
53,Does the document mention Teacher/Officer Login?,True,Yes. Teacher/Officer Login is listed in the navigation.,"Yes, the document mentions ""Teacher/Officer Login"".","1,2,3","1,2,3",True,True,
54,Does the document mention Department Login?,True,Yes. Department Login is listed in the navigation.,"Yes, the document mentions ""Department Login"".","1,2,3","1,2",True,True,
55,Is Mathematics required for Pre-Medical students entering the listed programs?,True,Yes. Pre-Medical students can enter the listed programs with a Mathematics course.,"Yes, Pre-Medical students are eligible for IT, AI, Chemistry, and English provided they take a Mathematics course.",1,"1,2",True,True,
56,Are Hifz-ul-Quran marks included in the 60% Engineering requirement?,True,No. The 60% Engineering requirement excludes Hifz-ul-Quran.,"No, Hifz-ul-Quran marks are excluded from the 60% requirement for Engineering programs.",1,"1,3",False,True,
57,Are grace marks included in the Engineering merit requirement?,True,No. Grace marks are not counted.,"No, grace marks are not counted.",1,"1,2",True,True,
58,Does Category-F apply to DAE holders?,True,Yes. DAE holders require 60% under Category-F.,"Yes, Category-F applies to DAE holders, requiring 60%.",1,"1,2",True,True,
59,"Are Categories A-I, P and SF covered by the compulsory pre-admission test?",True,"Yes. The pre-admission test is compulsory for Categories A-I, P, and SF.","Yes, the pre-admission test is compulsory for Categories A-I, P, and SF.",1,"1,2",True,True,
60,Is the pre-admission test one hour or two hours?,True,It is a 1-hour test.,The pre-admission test is one hour.,1,"1,2",False,True,
61,Does the merit formula give the largest weight to the test?,True,Yes. The test has the largest weight at 70%.,"Yes. According to the merit formula, the test carries a weight of 70%, which is the largest weight (compared to Matric at 10% and HSC-I at 20%).",1,"1,2",True,True,
62,"Is the B.E/BS/B.Tech first semester fee PKR 58,500 or PKR 29,250?",True,"The first-semester fee is PKR 58,500.","The B.E/BS/B.Tech first semester fee is PKR 58,500.",1,"1,2",True,True,
