id,question,answerable,reference_answer,reference_pages,keywords
1,What is the minimum HSC-II percentage required for Engineering (B.E) programs?,True,"Engineering programs require a minimum of 60% in HSC-II, excluding Hifz-ul-Quran.",1,60% | HSC-II
2,What is the minimum HSC-II percentage for Science and Technology BS programs?,True,Science and Technology BS programs require a minimum of 50% in HSC-II.,1,50% | HSC-II
3,Are grace marks counted for Engineering eligibility?,True,No. Grace marks are not counted for Engineering eligibility.,1,grace | not counted
4,What must an HSC-I student do later to remain eligible?,True,An HSC-I student must later meet the required HSC-II marks.,1,HSC-II
5,Are reserved seats available for differently-abled applicants?,True,Yes. Reserved seats are available for differently-abled applicants.,1,reserved | differently
6,What domicile document is required for admission?,True,A PRC (Form C) of the relevant category is required.,1,PRC | Form C
7,Can a student with a previous admission apply again?,True,Previous admissions are not eligible unless the student applies under Self-Finance with an undertaking.,1,Self-Finance | undertaking
8,What happens if fake documents are submitted?,True,Admission is cancelled and legal action is applied.,1,cancelled | legal action
9,Who is ineligible because of disciplinary issues?,True,Students who have been rusticated or debarred are ineligible.,1,rusticated | debarred
10,Which programs are available to Pre-Engineering students?,True,Pre-Engineering students are eligible for Engineering and Science programs.,1,Engineering | Science
11,Which programs can Pre-Medical students apply for?,True,"Pre-Medical students are eligible for IT, AI, Chemistry, and English, with a Mathematics course.",1,IT | AI | Chemistry | English
12,What percentage is required for DAE holders under Category-F?,True,DAE holders require 60% under Category-F.,1,60% | Category-F
13,How can applicants apply to QUEST?,True,Applicants can apply online via the official website.,1,online | official website
14,What happens if false information is provided in the application?,True,Tampering or false information leads to rejection.,1,false | rejection
15,Which documents must be submitted with the application?,True,"Attested SSC/HSC marksheets, domicile, PRC, and certificates must be submitted.",1,SSC | HSC | domicile | PRC
16,Is the pre-admission test compulsory?,True,"Yes, it is compulsory for Categories A-I, P, and SF.",1,compulsory | A-I | P | SF
17,How long is the pre-admission test?,True,The pre-admission test is 1 hour long.,1,1-hour
18,What type of questions are in the pre-admission test?,True,The test contains multiple-choice questions (MCQs).,1,MCQ
19,Which subjects are covered in the pre-admission test?,True,"The test covers Math, Physics, Chemistry, and English.",1,Math | Physics | Chemistry | English
20,What percentage of merit comes from Matric?,True,Matric contributes 10% to the merit calculation.,1,10% | Matric
21,What percentage of merit comes from HSC-I?,True,HSC-I contributes 20% to the merit calculation.,1,20% | HSC-I
22,What percentage of merit comes from the admission test?,True,The test contributes 70% to the merit calculation.,1,70% | Test
23,What is the merit formula at QUEST?,True,Merit is calculated as Matric 10% + HSC-I 20% + Test 70%.,1,10% | 20% | 70%
24,"What is the first-semester fee for B.E, BS, and B.Tech in Batch-24?",True,"The first-semester fee is PKR 58,500.",1,"58,500"
25,"What is the fee for the 2nd, 4th, 6th, and 8th semesters for B.E/BS/B.Tech?",True,"The fee is PKR 29,250.",2,"29,250"
26,"What is the fee for the 3rd, 5th, and 7th semesters for B.E/BS/B.Tech?",True,"The fee is PKR 48,500.",2,"48,500"
27,What is the first-semester fee for BS Physics/Chemistry?,True,"The first-semester fee is PKR 33,650.",2,"33,650"
28,What are the even and odd semester fees for BS Administration Physics/Chemistry?,True,"The fees are PKR 29,250 and PKR 42,350 for even and odd semesters respectively.",2,"29,250 | 42,350"
29,How much is the summer semester fee for 3 credit hours?,True,"The summer semester fee is PKR 6,000 for 3 credit hours.",2,"6,000 | 3 Cr"
30,How much is the summer semester fee for 2 credit hours?,True,"The summer semester fee is PKR 4,000 for 2 credit hours.",2,"4,000 | 2 Cr"
31,What is the summer practical fee?,True,"The summer practical fee is PKR 3,000.",2,"3,000 | Practical"
32,What is the examination fee per exam?,True,"The examination fee is PKR 2,750 per exam.",2,"2,750"
33,What is the migration fee?,True,"The migration fee is PKR 2,000.",2,"2,000 | migration"
34,What is the self-finance fee for B.E Civil?,True,"The self-finance fee for B.E Civil is PKR 1,155,000.",2,"1,155,000"
35,What is the self-finance fee for BS CS/AI?,True,"The self-finance fee for BS CS/AI is PKR 630,000.",2,"630,000"
36,Who cannot get hostel accommodation according to the document?,True,Hostel accommodation is not available for students within 30 km.,2,30km | Hostel
